"","cste","Haar0.007","Haar0.015","Haar0.023","Haar0.031","Haar0.039","Haar0.046","Haar0.054","Haar0.062","Haar0.07","Haar0.078","Haar0.085","Haar0.093","Haar0.101","Haar0.109","Haar0.117","Haar0.125","Haar0.132","Haar0.14","Haar0.148","Haar0.156","Haar0.164","Haar0.171","Haar0.179","Haar0.187","Haar0.195","Haar0.203","Haar0.21","Haar0.218","Haar0.226","Haar0.234","Haar0.242","Haar0.25","Haar0.257","Haar0.265","Haar0.273","Haar0.281","Haar0.289","Haar0.296","Haar0.304","Haar0.312","Haar0.32","Haar0.328","Haar0.335","Haar0.343","Haar0.351","Haar0.359","Haar0.367","Haar0.375","Haar0.382","Haar0.39","Haar0.398","Haar0.406","Haar0.414","Haar0.421","Haar0.429","Haar0.437","Haar0.445","Haar0.453","Haar0.46","Haar0.468","Haar0.476","Haar0.484","Haar0.492","Haar0.5","Haar0.507","Haar0.515","Haar0.523","Haar0.531","Haar0.539","Haar0.546","Haar0.554","Haar0.562","Haar0.57","Haar0.578","Haar0.585","Haar0.593","Haar0.601","Haar0.609","Haar0.617","Haar0.625","Haar0.632","Haar0.664","Haar0.671","Haar0.679","Haar0.687","Haar0.695","Haar0.703","Haar0.71","Haar0.718","Haar0.726","Haar0.734","Haar0.742","Haar0.75","Haar0.757","Haar0.765","Haar0.773","Haar0.781","Haar0.789","Haar0.796","Haar0.804","Haar0.812","Haar0.82","Haar0.828","Haar0.835","Haar0.843","Haar0.867","Haar0.875","Haar0.882","Haar0.89","Haar0.898","Haar0.906","Haar0.914","Haar0.921","Haar0.929","Haar0.937","Haar0.945","Haar0.953","Haar0.96","Haar0.976","Haar0.984","Haar0.992","Haar1","sin(2pi*1posx)","cos(2pi1posx)","sin(2pi*2posx)","cos(2pi2posx)","sin(2pi*3posx)","cos(2pi3posx)","sin(2pi*4posx)","cos(2pi4posx)","sin(2pi*5posx)","cos(2pi5posx)","sin(2pi*6posx)","cos(2pi6posx)","sin(2pi*7posx)","cos(2pi7posx)","sin(2pi*8posx)","cos(2pi8posx)","sin(2pi*9posx)","cos(2pi9posx)","sin(2pi*10posx)","cos(2pi10posx)","bspl3.1","bspl3.2","bspl3.3","bspl3.4","bspl3.5","bspl3.6","bspl3.7","bspl3.8","bspl3.9","bspl3.10","bspl3.11","bspl3.12","bspl3.13","bspl3.14","x","xx"
"1",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585023227771682,0.999982887244725,0.0117002643282471,0.999931549564594,0.0175498959312572,0.999845988716663,0.0233989268801189,0.999726207629298,0.0292471569887619,0.999572210402067,0.0350943860985247,0.999384002305604,0.040940414085006,0.999161589781427,0.0467850408649131,0.998904980441718,0.0526280664029104,0.998614183069062,0.0584692907184659,0.998289207616149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000931098696461825,8.6694478255291e-07
"2",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117002643282471,0.999931549564594,0.0233989268801189,0.999726207629298,0.0350943860985247,0.999384002305604,0.0467850408649131,0.998904980441718,0.0584692907184659,0.998289207616149,0.0701455360752036,0.997536768128735,0.081812178446969,0.996647764989096,0.0934676206602619,0.995622319902537,0.105110267074894,0.994460573253382,0.116738523802431,0.993162684085759,0.985822964174764,0.014143298191112,3.37376341243087e-05,0,0,0,0,0,0,0,0,0,0,0,0.00186219739292365,3.46777913021164e-06
"3",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175498959312572,0.999845988716663,0.0350943860985247,0.999384002305604,0.0526280664029104,0.998614183069062,0.0701455360752036,0.997536768128735,0.0876413993394343,0.996152089352738,0.105110267074894,0.994460573253382,0.122546758476105,0.992462740855796,0.139945502710232,0.990159207537445,0.157301140571421,0.987550682838572,0.17460832613155,0.984637970243652,0.9717471412519,0.0281179082116024,0.000134950536497235,0,0,0,0,0,0,0,0,0,0,0,0.00279329608938547,7.80250304297619e-06
"4",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233989268801189,0.999726207629298,0.0467850408649131,0.998904980441718,0.0701455360752036,0.997536768128735,0.0934676206602619,0.995622319902537,0.116738523802431,0.993162684085759,0.139945502710232,0.990159207537445,0.163075849596122,0.986613534915523,0.18611689863508,0.982527607776219,0.209056032900229,0.977903663510889,0.231880691271664,0.972744234120858,0.95777253123141,0.0419238300614714,0.000303638707118779,0,0,0,0,0,0,0,0,0,0,0,0.0037243947858473,1.38711165208466e-05
"5",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292471569887619,0.999572210402067,0.0584692907184659,0.998289207616149,0.0876413993394343,0.996152089352738,0.116738523802431,0.993162684085759,0.145735769213107,0.989323549488166,0.17460832613155,0.984637970243652,0.203331491798731,0.979109955236337,0.231880691271664,0.972744234120858,0.260231498449222,0.965546253275767,0.288359656970598,0.957522171143728,0.943899134113292,0.0555610637407187,0.00053980214598894,0,0,0,0,0,0,0,0,0,0,0,0.00465549348230913,2.16736195638227e-05
"6",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350943860985247,0.999384002305604,0.0701455360752036,0.997536768128735,0.105110267074894,0.994460573253382,0.139945502710232,0.990159207537445,0.17460832613155,0.984637970243652,0.209056032900229,0.977903663510889,0.243246183600376,0.969964583973999,0.277136656123986,0.960830512542361,0.310685697565186,0.95051270234986,0.343851975659622,0.939023864891076,0.930126949897548,0.0690296092493445,0.000843440853107718,0,0,0,0,0,0,0,0,0,0,0,0.00558659217877095,3.12100121719047e-05
"7",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040940414085006,0.999161589781427,0.081812178446969,0.996647764989096,0.122546758476105,0.992462740855796,0.163075849596122,0.986613534915523,0.203331491798731,0.979109955236337,0.243246183600376,0.969964583973999,0.282752995230103,0.959192756273944,0.321785680858763,0.946812534557006,0.360278789681379,0.932844678231977,0.398167775666386,0.917312608885805,0.916455978584176,0.0823294665873488,0.00121455482847511,0,0,0,0,0,0,0,0,0,0,0,0.00651769087523277,4.24802943450926e-05
"8",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467850408649131,0.998904980441718,0.0934676206602619,0.995622319902537,0.139945502710232,0.990159207537445,0.18611689863508,0.982527607776219,0.231880691271664,0.972744234120858,0.277136656123986,0.960830512542361,0.321785680858763,0.946812534557006,0.365729982365309,0.930721000084918,0.408873320904375,0.912591150216036,0.45112121087694,0.892462690030751,0.902886220173177,0.0954606357547315,0.00165314407209113,0,0,0,0,0,0,0,0,0,0,0,0.0074487895716946,5.54844660833862e-05
"9",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526280664029104,0.998614183069062,0.105110267074894,0.994460573253382,0.157301140571421,0.987550682838572,0.209056032900229,0.977903663510889,0.260231498449222,0.965546253275767,0.310685697565186,0.95051270234986,0.360278789681379,0.932844678231977,0.408873320904375,0.912591150216036,0.456334604985935,0.889808253666109,0.50253109662397,0.864559134429745,0.889417674664551,0.108423116751493,0.00215920858395576,0,0,0,0,0,0,0,0,0,0,0,0.00837988826815642,7.02225273867857e-05
"10",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584692907184659,0.998289207616149,0.116738523802431,0.993162684085759,0.17460832613155,0.984637970243652,0.231880691271664,0.972744234120858,0.288359656970598,0.957522171143728,0.343851975659622,0.939023864891076,0.398167775666386,0.917312608885805,0.45112121087694,0.892462690030751,0.50253109662397,0.864559134429745,0.552221529625496,0.833697416463598,0.876050342058299,0.121216909577632,0.00273274836406901,0,0,0,0,0,0,0,0,0,0,0,0.00931098696461825,8.6694478255291e-05
